"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart", "Dart", 0, 2, 0, 2
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", 0, 1, 0, 1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", -1, 3, 0, 2
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/cubit/user_cubit.dart", "Dart", -84, -1, -11, -96
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/cubit/user_state.dart", "Dart", -52, 0, -5, -57
"/Users/estai/Desktop/W/tasu_front/lib/admin/util/http_util.dart", "Dart", -85, -69, -7, -161
"/Users/estai/Desktop/W/tasu_front/lib/admin/util/http_util_a.dart", "Dart", 72, 66, 9, 147
"/Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/adaptive_scafold_widget.dart", "Dart", 1, 3, 0, 4
"/Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/header_widget.dart", "Dart", -2, 0, 0, -2
"/Users/estai/Desktop/W/tasu_front/lib/client/client.dart", "Dart", 7, 1, 1, 9
"/Users/estai/Desktop/W/tasu_front/lib/client/data/repository.dart", "Dart", 193, -6, 13, 200
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/auth/cubit/login_cubit.dart", "Dart", 1, 2, 0, 3
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/settings_screen.dart", "Dart", 0, 0, -1, -1
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/classifiers_screen.dart", "Dart", -10, 0, -3, -13
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/data/classifiers_provider.dart", "Dart", 49, 36, 4, 89
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/activityarea_model.dart", "Dart", 13, 0, 3, 16
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/cargostatus_model.dart", "Dart", 59, 0, 8, 67
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/deferredpaymentterm_model.dart", "Dart", 13, 0, 4, 17
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/models.dart", "Dart", 3, 0, 1, 4
"/Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/classifiers_screen.dart", "Dart", 191, 0, 16, 207
