"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart", "Dart", 29, 5, 2, 36
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", 14, 6, -1, 19
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/admin_datasource.dart", "Dart", 16, 1, 0, 17
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/provider/admin_provider.dart", "Dart", 256, 11, 34, 301
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_addupdate_screen.dart", "Dart", -1, 0, 0, -1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_list_screen.dart", "Dart", 30, -2, 1, 29
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_new_screen.dart", "Dart", 206, 23, 5, 234
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", 4, 1, 1, 6
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/view/login_screen.dart", "Dart", -2, 6, 1, 5
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/company_datasource.dart", "Dart", 0, 0, -1, -1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/provider/company_provider.dart", "Dart", 253, 17, 37, 307
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/addupdate_screen.dart", "Dart", -2, 0, 0, -2
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_new_screen.dart", "Dart", 213, 12, 4, 229
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_screen.dart", "Dart", 307, 114, 14, 435
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/cubit/admin_cubit.dart", "Dart", -10, -2, 0, -12
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/profile/cubit/profile_cubit.dart", "Dart", -6, 0, -3, -9
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/profile/cubit/profile_state.dart", "Dart", -7, 0, -4, -11
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/profile/profile_screen.dart", "Dart", 30, 1, 1, 32
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/model/trans_user_model.dart", "Dart", 1, 0, 0, 1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/provider/user_provider.dart", "Dart", 247, 12, 36, 295
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/view/user_list_screen.dart", "Dart", 9, 0, 0, 9
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/view/user_new_list.dart", "Dart", 206, 2, 3, 211
"/Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/adaptive_scafold_widget.dart", "Dart", 0, -14, -1, -15
