"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart", "Dart", 37, 6, 3, 46
"/Users/estai/Desktop/W/tasu_front/lib/admin/constant/admin_constant.dart", "Dart", 7, 0, 3, 10
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/cache.dart", "Dart", 13, 7, 5, 25
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/provider/admin_provider.dart", "Dart", 26, 1, 2, 29
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", 323, 23, 19, 365
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_cubit.dart", "Dart", 85, 1, 10, 96
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_state.dart", "Dart", 43, 1, 4, 48
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_cubit.dart", "Dart", 0, 103, 15, 118
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_state.dart", "Dart", 0, 44, 6, 50
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/admin_datasource.dart", "Dart", 240, 53, 25, 318
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_addupdate_model.dart", "Dart", 0, 128, 11, 139
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_list_model.dart", "Dart", 127, 0, 12, 139
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_model.dart", "Dart", 162, 1, 12, 175
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admintype_liset_model.dart", "Dart", 23, 39, 9, 71
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/setstatus_model.dart", "Dart", 15, 0, 4, 19
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/provider/admin_provider.dart", "Dart", 256, 11, 34, 301
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_addupdate_screen.dart", "Dart", 221, 26, 8, 255
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_list_screen.dart", "Dart", 199, 1, 9, 209
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_new_screen.dart", "Dart", 206, 23, 5, 234
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_profile/admin_profile.dart", "Dart", 12, 0, 3, 15
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", 48, 1, 10, 59
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_state.dart", "Dart", 50, 0, 3, 53
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/view/login_screen.dart", "Dart", 161, 13, 5, 179
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_cubit.dart", "Dart", 140, 1, 10, 151
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_state.dart", "Dart", 55, 1, 5, 61
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_cubit.dart", "Dart", 0, 94, 18, 112
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_state.dart", "Dart", 0, 56, 6, 62
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/company_datasource.dart", "Dart", 218, 61, 26, 305
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/model/compony_list_model.dart", "Dart", 168, 8, 10, 186
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/model/create_update_model.dart", "Dart", 345, 74, 20, 439
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/provider/company_provider.dart", "Dart", 253, 17, 37, 307
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/addupdate_screen.dart", "Dart", 245, 16, 8, 269
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company.dart", "Dart", 2, 14, 4, 20
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_new_screen.dart", "Dart", 213, 12, 4, 229
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_screen.dart", "Dart", 454, 127, 24, 605
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/admin_dashboard.dart", "Dart", 68, 49, 11, 128
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/cubit/admin_cubit.dart", "Dart", 29, 0, 7, 36
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/cubit/admin_state.dart", "Dart", 28, 0, 5, 33
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/provider/admin_info_provider.dart", "Dart", 29, 0, 2, 31
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/profile/profile_screen.dart", "Dart", 42, 1, 4, 47
