"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart", "Dart", 79, 2, 5, 86
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", -1, 0, 0, -1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/admin_list.dart", "Dart", 3, 0, 1, 4
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/admin_datasource.dart", "Dart", -240, -53, -25, -318
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_list_screen.dart", "Dart", -199, -1, -9, -209
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_new_screen.dart", "Dart", -206, -23, -5, -234
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_screen.dart", "Dart", 200, 34, 4, 238
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/auth.dart", "Dart", 2, 0, 1, 3
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", 0, -1, 0, -1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/company.dart", "Dart", 1, 1, 2, 4
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/company_datasource.dart", "Dart", -218, -61, -26, -305
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/addupdate_screen.dart", "Dart", 4, 8, 0, 12
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company.dart", "Dart", -2, -14, -4, -20
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_new_screen.dart", "Dart", -213, -12, -4, -229
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_screen.dart", "Dart", -21, -93, -13, -127
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/futures.dart", "Dart", 8, 0, 1, 9
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/profile/profile.dart", "Dart", 1, 0, 1, 2
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/shared/cache.dart", "Dart", 0, -19, -4, -23
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/shared/local_state.dart", "Dart", -17, 0, -6, -23
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/statistics/statistics.dart", "Dart", 2, 0, 1, 3
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/data/user_datasource.dart", "Dart", -193, -79, -26, -298
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/userlist.dart", "Dart", 1, 0, 2, 3
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/view/user_list_screen.dart", "Dart", 56, 2, -5, 53
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/view/user_new_list.dart", "Dart", -206, -2, -3, -211
"/Users/estai/Desktop/W/tasu_front/lib/admin/util/cache.dart", "Dart", 0, 19, 4, 23
