"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart", "Dart", 116, 8, 8, 132
"/Users/estai/Desktop/W/tasu_front/lib/admin/constant/admin_constant.dart", "Dart", 7, 0, 3, 10
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/cache.dart", "Dart", 13, 7, 5, 25
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/provider/admin_provider.dart", "Dart", 26, 1, 2, 29
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", 322, 23, 19, 364
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/admin_list.dart", "Dart", 3, 0, 1, 4
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_cubit.dart", "Dart", 85, 1, 10, 96
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_state.dart", "Dart", 43, 1, 4, 48
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_cubit.dart", "Dart", 0, 103, 15, 118
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_state.dart", "Dart", 0, 44, 6, 50
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_addupdate_model.dart", "Dart", 0, 128, 11, 139
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_list_model.dart", "Dart", 127, 0, 12, 139
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_model.dart", "Dart", 162, 1, 12, 175
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admintype_liset_model.dart", "Dart", 23, 39, 9, 71
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/setstatus_model.dart", "Dart", 15, 0, 4, 19
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/provider/admin_provider.dart", "Dart", 256, 11, 34, 301
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_addupdate_screen.dart", "Dart", 221, 26, 8, 255
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_screen.dart", "Dart", 200, 34, 4, 238
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_profile/admin_profile.dart", "Dart", 12, 0, 3, 15
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/auth.dart", "Dart", 2, 0, 1, 3
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", 48, 0, 10, 58
