Date : 2022-09-02 21:07:20
Directory : /Users/estai/Desktop/W/tasu_front/lib
Total : 161 files,  12535 codes, 2070 comments, 1317 blanks, all 15922 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        161 |     12,535 |      2,070 |      1,317 |     15,922 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        161 |     12,535 |      2,070 |      1,317 |     15,922 |
| admin                                                                                                                            |         63 |      5,498 |      1,027 |        555 |      7,080 |
| admin/constant                                                                                                                   |          1 |          7 |          0 |          3 |         10 |
| admin/data                                                                                                                       |          3 |        361 |         31 |         26 |        418 |
| admin/data/provider                                                                                                              |          1 |         26 |          1 |          2 |         29 |
| admin/data/services                                                                                                              |          1 |        322 |         23 |         19 |        364 |
| admin/futures                                                                                                                    |         45 |      4,115 |        780 |        391 |      5,286 |
| admin/futures/admin_list                                                                                                         |         13 |      1,135 |        388 |        130 |      1,653 |
| admin/futures/admin_list/cubit                                                                                                   |          4 |        128 |        149 |         35 |        312 |
| admin/futures/admin_list/model                                                                                                   |          5 |        327 |        168 |         48 |        543 |
| admin/futures/admin_list/provider                                                                                                |          1 |        256 |         11 |         34 |        301 |
| admin/futures/admin_list/view                                                                                                    |          2 |        421 |         60 |         12 |        493 |
| admin/futures/admin_profile                                                                                                      |          1 |         12 |          0 |          3 |         15 |
| admin/futures/auth                                                                                                               |          4 |        261 |         13 |         19 |        293 |
| admin/futures/auth/login                                                                                                         |          3 |        259 |         13 |         18 |        290 |
| admin/futures/auth/login/cubit                                                                                                   |          2 |         98 |          0 |         13 |        111 |
| admin/futures/auth/login/view                                                                                                    |          1 |        161 |         13 |          5 |        179 |
| admin/futures/company                                                                                                            |         10 |      1,644 |        310 |        127 |      2,081 |
| admin/futures/company/cubit                                                                                                      |          4 |        195 |        152 |         39 |        386 |
| admin/futures/company/model                                                                                                      |          2 |        513 |         82 |         30 |        625 |
| admin/futures/company/provider                                                                                                   |          1 |        253 |         17 |         37 |        307 |
| admin/futures/company/view                                                                                                       |          2 |        682 |         58 |         19 |        759 |
| admin/futures/home                                                                                                               |          4 |        154 |         49 |         25 |        228 |
| admin/futures/home/cubit                                                                                                         |          2 |         57 |          0 |         12 |         69 |
| admin/futures/home/provider                                                                                                      |          1 |         29 |          0 |          2 |         31 |
| admin/futures/profile                                                                                                            |          2 |         43 |          1 |          5 |         49 |
| admin/futures/statistics                                                                                                         |          4 |        161 |          4 |         16 |        181 |
| admin/futures/statistics/cubit                                                                                                   |          2 |         66 |          1 |         11 |         78 |
| admin/futures/user_list                                                                                                          |          6 |        697 |         15 |         65 |        777 |
| admin/futures/user_list/cubit                                                                                                    |          2 |        136 |          1 |         16 |        153 |
| admin/futures/user_list/model                                                                                                    |          1 |        108 |          0 |          8 |        116 |
| admin/futures/user_list/provider                                                                                                 |          1 |        247 |         12 |         36 |        295 |
| admin/futures/user_list/view                                                                                                     |          1 |        205 |          2 |          3 |        210 |
| admin/model                                                                                                                      |          2 |         35 |         76 |         13 |        124 |
| admin/util                                                                                                                       |          3 |        102 |         88 |         17 |        207 |
| admin/view                                                                                                                       |          8 |        762 |         44 |         97 |        903 |
| admin/view/screen                                                                                                                |          2 |        115 |         23 |         14 |        152 |
| admin/view/widget                                                                                                                |          6 |        647 |         21 |         83 |        751 |
| client                                                                                                                           |         43 |      3,547 |        361 |        318 |      4,226 |
| client/constant                                                                                                                  |          1 |         85 |          0 |          5 |         90 |
| client/data                                                                                                                      |          1 |      1,667 |         48 |        117 |      1,832 |
| client/futures                                                                                                                   |         32 |      1,145 |        285 |        149 |      1,579 |
| client/futures/auth                                                                                                              |          3 |        200 |          1 |         18 |        219 |
| client/futures/auth/cubit                                                                                                        |          2 |         89 |          0 |         12 |        101 |
| client/futures/auth/login                                                                                                        |          1 |        111 |          1 |          6 |        118 |
| client/futures/calendar                                                                                                          |          1 |         15 |          0 |          3 |         18 |
| client/futures/calendar/view                                                                                                     |          1 |         15 |          0 |          3 |         18 |
| client/futures/carriers                                                                                                          |          1 |         15 |          0 |          3 |         18 |
| client/futures/carriers/view                                                                                                     |          1 |         15 |          0 |          3 |         18 |
| client/futures/clients                                                                                                           |          1 |         15 |          0 |          3 |         18 |
| client/futures/clients/view                                                                                                      |          1 |         15 |          0 |          3 |         18 |
| client/futures/documents                                                                                                         |          1 |         15 |          0 |          3 |         18 |
| client/futures/documents/view                                                                                                    |          1 |         15 |          0 |          3 |         18 |
| client/futures/finance                                                                                                           |          1 |         15 |          0 |          3 |         18 |
| client/futures/finance/view                                                                                                      |          1 |         15 |          0 |          3 |         18 |
| client/futures/home                                                                                                              |          3 |         13 |        248 |         24 |        285 |
| client/futures/home/cubit                                                                                                        |          2 |         13 |          0 |          7 |         20 |
| client/futures/home/view                                                                                                         |          1 |          0 |        248 |         17 |        265 |
| client/futures/orders                                                                                                            |          1 |         15 |          0 |          3 |         18 |
| client/futures/orders/view                                                                                                       |          1 |         15 |          0 |          3 |         18 |
| client/futures/reports                                                                                                           |          1 |         15 |          0 |          3 |         18 |
| client/futures/reports/view                                                                                                      |          1 |         15 |          0 |          3 |         18 |
| client/futures/request                                                                                                           |          1 |         18 |          0 |          3 |         21 |
| client/futures/request/view                                                                                                      |          1 |         18 |          0 |          3 |         21 |
| client/futures/settings                                                                                                          |         16 |        781 |         36 |         73 |        890 |
| client/futures/settings/data                                                                                                     |          1 |          0 |         24 |          5 |         29 |
| client/futures/settings/view                                                                                                     |         15 |        781 |         12 |         68 |        861 |
| client/futures/settings/view/sub                                                                                                 |         14 |        710 |         12 |         62 |        784 |
| client/futures/settings/view/sub/futures                                                                                         |          8 |        654 |         12 |         46 |        712 |
| client/futures/settings/view/sub/futures/organization                                                                            |          8 |        654 |         12 |         46 |        712 |
| client/futures/settings/view/sub/futures/organization/data                                                                       |          1 |          9 |          0 |          3 |         12 |
| client/futures/settings/view/sub/futures/organization/model                                                                      |          1 |        127 |          0 |          8 |        135 |
| client/futures/settings/view/sub/futures/organization/view                                                                       |          6 |        518 |         12 |         35 |        565 |
| client/futures/settings/view/sub/futures/organization/view/sub                                                                   |          5 |        201 |          2 |         19 |        222 |
| client/futures/tasks                                                                                                             |          1 |         15 |          0 |          3 |         18 |
| client/futures/tasks/view                                                                                                        |          1 |         15 |          0 |          3 |         18 |
| client/model                                                                                                                     |          1 |         15 |          5 |          2 |         22 |
| client/view                                                                                                                      |          7 |        341 |         21 |         26 |        388 |
| client/view/widget                                                                                                               |          7 |        341 |         21 |         26 |        388 |
| datatable                                                                                                                        |         16 |        917 |         55 |         91 |      1,063 |
| datatable/base                                                                                                                   |          1 |         27 |          3 |          2 |         32 |
| datatable/model                                                                                                                  |          3 |         23 |          0 |          7 |         30 |
| datatable/provider                                                                                                               |          2 |        206 |         17 |         28 |        251 |
| datatable/widget                                                                                                                 |          5 |        309 |         28 |         24 |        361 |
| devtools                                                                                                                         |          2 |         12 |          0 |          5 |         17 |
| global                                                                                                                           |         34 |      2,311 |        562 |        315 |      3,188 |
| global/config                                                                                                                    |          5 |        404 |         38 |         32 |        474 |
| global/config/constant                                                                                                           |          2 |         23 |          5 |          6 |         34 |
| global/config/router                                                                                                             |          3 |        381 |         33 |         26 |        440 |
| global/data                                                                                                                      |          7 |        198 |         55 |         47 |        300 |
| global/data/provider                                                                                                             |          2 |          0 |         54 |         14 |         68 |
| global/model                                                                                                                     |          1 |         39 |          0 |          9 |         48 |
| global/utils                                                                                                                     |          6 |        281 |        297 |         63 |        641 |
| global/widgets                                                                                                                   |         15 |      1,389 |        172 |        164 |      1,725 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                         | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart                                                                           | Dart     |        116 |          8 |          8 |        132 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/constant/admin_constant.dart                                                         | Dart     |          7 |          0 |          3 |         10 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/data/cache.dart                                                                      | Dart     |         13 |          7 |          5 |         25 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/data/provider/admin_provider.dart                                                    | Dart     |         26 |          1 |          2 |         29 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart                                                  | Dart     |        322 |         23 |         19 |        364 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/admin_list.dart                                                   | Dart     |          3 |          0 |          1 |          4 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_cubit.dart                                  | Dart     |         85 |          1 |         10 |         96 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_state.dart                                  | Dart     |         43 |          1 |          4 |         48 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_cubit.dart                                        | Dart     |          0 |        103 |         15 |        118 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_state.dart                                        | Dart     |          0 |         44 |          6 |         50 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_addupdate_model.dart                                  | Dart     |          0 |        128 |         11 |        139 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_list_model.dart                                       | Dart     |        127 |          0 |         12 |        139 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_model.dart                                            | Dart     |        162 |          1 |         12 |        175 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admintype_liset_model.dart                                  | Dart     |         23 |         39 |          9 |         71 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/setstatus_model.dart                                        | Dart     |         15 |          0 |          4 |         19 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/provider/admin_provider.dart                                      | Dart     |        256 |         11 |         34 |        301 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_addupdate_screen.dart                                  | Dart     |        221 |         26 |          8 |        255 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_screen.dart                                            | Dart     |        200 |         34 |          4 |        238 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_profile/admin_profile.dart                                             | Dart     |         12 |          0 |          3 |         15 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/auth.dart                                                               | Dart     |          2 |          0 |          1 |          3 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart                                            | Dart     |         48 |          0 |         10 |         58 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_state.dart                                            | Dart     |         50 |          0 |          3 |         53 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/view/login_screen.dart                                            | Dart     |        161 |         13 |          5 |        179 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/company.dart                                                         | Dart     |          1 |          1 |          2 |          4 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_cubit.dart                                   | Dart     |        140 |          1 |         10 |        151 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_state.dart                                   | Dart     |         55 |          1 |          5 |         61 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_cubit.dart                                             | Dart     |          0 |         94 |         18 |        112 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_state.dart                                             | Dart     |          0 |         56 |          6 |         62 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/model/compony_list_model.dart                                        | Dart     |        168 |          8 |         10 |        186 |
