Date : 2022-08-12 00:01:48
Directory : /Users/estai/Desktop/W/tasu_front/lib
Total : 109 files,  9567 codes, 1560 comments, 1047 blanks, all 12174 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        109 |      9,567 |      1,560 |      1,047 |     12,174 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        109 |      9,567 |      1,560 |      1,047 |     12,174 |
| admin                                                                                           |         65 |      5,982 |      1,148 |        654 |      7,784 |
| admin/constant                                                                                  |          1 |          7 |          0 |          3 |         10 |
| admin/data                                                                                      |          3 |        348 |         25 |         27 |        400 |
| admin/data/provider                                                                             |          1 |         26 |          1 |          2 |         29 |
| admin/data/services                                                                             |          1 |        309 |         17 |         20 |        346 |
| admin/futures                                                                                   |         43 |      3,602 |        897 |        379 |      4,878 |
| admin/futures/admin_list                                                                        |         12 |      1,070 |        398 |        124 |      1,592 |
| admin/futures/admin_list/cubit                                                                  |          4 |        128 |        149 |         35 |        312 |
| admin/futures/admin_list/data                                                                   |          1 |        224 |         52 |         25 |        301 |
| admin/futures/admin_list/model                                                                  |          5 |        327 |        168 |         48 |        543 |
| admin/futures/admin_list/view                                                                   |          2 |        391 |         29 |         16 |        436 |
| admin/futures/admin_profile                                                                     |          1 |         12 |          0 |          3 |         15 |
| admin/futures/auth                                                                              |          3 |        257 |          7 |         16 |        280 |
| admin/futures/auth/login                                                                        |          3 |        257 |          7 |         16 |        280 |
| admin/futures/auth/login/cubit                                                                  |          2 |         94 |          0 |         12 |        106 |
| admin/futures/auth/login/view                                                                   |          1 |        163 |          7 |          4 |        174 |
| admin/futures/company                                                                           |         10 |      1,322 |        338 |        118 |      1,778 |
| admin/futures/company/cubit                                                                     |          4 |        195 |        152 |         39 |        386 |
| admin/futures/company/data                                                                      |          1 |        218 |         61 |         27 |        306 |
| admin/futures/company/model                                                                     |          2 |        513 |         82 |         30 |        625 |
| admin/futures/company/view                                                                      |          3 |        396 |         43 |         22 |        461 |
| admin/futures/home                                                                              |          4 |        164 |         51 |         25 |        240 |
| admin/futures/home/cubit                                                                        |          2 |         67 |          2 |         12 |         81 |
| admin/futures/home/provider                                                                     |          1 |         29 |          0 |          2 |         31 |
| admin/futures/profile                                                                           |          3 |         25 |          0 |         10 |         35 |
| admin/futures/profile/cubit                                                                     |          2 |         13 |          0 |          7 |         20 |
| admin/futures/shared                                                                            |          2 |         17 |         19 |         10 |         46 |
| admin/futures/statistics                                                                        |          3 |        159 |          4 |         15 |        178 |
| admin/futures/statistics/cubit                                                                  |          2 |         66 |          1 |         11 |         78 |
| admin/futures/user_list                                                                         |          5 |        576 |         80 |         58 |        714 |
| admin/futures/user_list/cubit                                                                   |          2 |        136 |          1 |         16 |        153 |
| admin/futures/user_list/data                                                                    |          1 |        193 |         79 |         26 |        298 |
| admin/futures/user_list/model                                                                   |          1 |        107 |          0 |          8 |        115 |
| admin/futures/user_list/view                                                                    |          1 |        140 |          0 |          8 |        148 |
| admin/model                                                                                     |          2 |         35 |         76 |         13 |        124 |
| admin/view                                                                                      |         15 |      1,982 |        149 |        231 |      2,362 |
| admin/view/screen                                                                               |          2 |        115 |         16 |         13 |        144 |
| admin/view/widget                                                                               |         13 |      1,867 |        133 |        218 |      2,218 |
| client                                                                                          |         12 |      1,849 |         49 |        148 |      2,046 |
| client/constant                                                                                 |          1 |         11 |          0 |          3 |         14 |
| client/data                                                                                     |          2 |      1,628 |         46 |        113 |      1,787 |
| client/futures                                                                                  |          8 |        210 |          3 |         31 |        244 |
| client/futures/auth                                                                             |          3 |        161 |          3 |         15 |        179 |
| client/futures/auth/cubit                                                                       |          2 |         87 |          0 |         10 |         97 |
| client/futures/auth/login                                                                       |          1 |         74 |          3 |          5 |         82 |
| client/futures/home                                                                             |          3 |         25 |          0 |         10 |         35 |
| client/futures/home/cubit                                                                       |          2 |         13 |          0 |          7 |         20 |
| client/futures/home/view                                                                        |          1 |         12 |          0 |          3 |         15 |
| client/futures/settings                                                                         |          1 |         12 |          0 |          3 |         15 |
| client/futures/settings/view                                                                    |          1 |         12 |          0 |          3 |         15 |
| client/futures/user                                                                             |          1 |         12 |          0 |          3 |         15 |
| client/futures/user/view                                                                        |          1 |         12 |          0 |          3 |         15 |
| devtools                                                                                        |          2 |          8 |          0 |          3 |         11 |
| global                                                                                          |         28 |      1,615 |        355 |        227 |      2,197 |
| global/config                                                                                   |          5 |        362 |         35 |         27 |        424 |
| global/config/constant                                                                          |          2 |         10 |          5 |          4 |         19 |
| global/config/router                                                                            |          3 |        352 |         30 |         23 |        405 |
| global/data                                                                                     |          4 |        168 |         13 |         34 |        215 |
| global/data/provider                                                                            |          2 |         54 |          0 |         13 |         67 |
| global/model                                                                                    |          1 |         39 |          0 |          9 |         48 |
| global/utils                                                                                    |          5 |        380 |        202 |         46 |        628 |
| global/widgets                                                                                  |         13 |        666 |        105 |        111 |        882 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart                                          | Dart     |          8 |          1 |          1 |         10 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/constant/admin_constant.dart                        | Dart     |          7 |          0 |          3 |         10 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/data/cache.dart                                     | Dart     |         13 |          7 |          5 |         25 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/data/provider/admin_provider.dart                   | Dart     |         26 |          1 |          2 |         29 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart                 | Dart     |        309 |         17 |         20 |        346 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_cubit.dart | Dart     |         85 |          1 |         10 |         96 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_state.dart | Dart     |         43 |          1 |          4 |         48 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_cubit.dart       | Dart     |          0 |        103 |         15 |        118 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_state.dart       | Dart     |          0 |         44 |          6 |         50 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/admin_datasource.dart       | Dart     |        224 |         52 |         25 |        301 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_addupdate_model.dart | Dart     |          0 |        128 |         11 |        139 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_list_model.dart      | Dart     |        127 |          0 |         12 |        139 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_model.dart           | Dart     |        162 |          1 |         12 |        175 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admintype_liset_model.dart | Dart     |         23 |         39 |          9 |         71 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/setstatus_model.dart       | Dart     |         15 |          0 |          4 |         19 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_addupdate_screen.dart | Dart     |        222 |         26 |          8 |        256 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_list_screen.dart      | Dart     |        169 |          3 |          8 |        180 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_profile/admin_profile.dart            | Dart     |         12 |          0 |          3 |         15 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart           | Dart     |         44 |          0 |          9 |         53 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_state.dart           | Dart     |         50 |          0 |          3 |         53 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/view/login_screen.dart           | Dart     |        163 |          7 |          4 |        174 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_cubit.dart  | Dart     |        140 |          1 |         10 |        151 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_state.dart  | Dart     |         55 |          1 |          5 |         61 |
