"filename", "language", "Dart", "comment", "blank", "total"
"/Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart", "Dart", 2, 7, -2, 7
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/addupdate_cubit.dart", "Dart", -102, -1, -14, -117
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/addupdate_state.dart", "Dart", -44, -1, -4, -49
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_cubit.dart", "Dart", 85, 1, 10, 96
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/admin_addupdate_state.dart", "Dart", 43, 1, 4, 48
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_cubit.dart", "Dart", -103, 103, 0, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/cubit/adminlist_state.dart", "Dart", -44, 44, 0, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/admin_datasource.dart", "Dart", 224, 52, 25, 301
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/data/data_source.dart", "Dart", -174, -58, -23, -255
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_addupdate_model.dart", "Dart", -106, 106, 0, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_list_model.dart", "Dart", 0, -20, -4, -24
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admin_model.dart", "Dart", 162, 1, 12, 175
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/model/admintype_liset_model.dart", "Dart", -39, 39, 1, 1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/addupdate_admin_screen.dart", "Dart", -221, -8, -8, -237
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_addupdate_screen.dart", "Dart", 222, 26, 8, 256
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/admin_list/view/admin_list_screen.dart", "Dart", 78, -110, -9, -41
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart", "Dart", -9, -4, -1, -14
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_state.dart", "Dart", 2, 0, 0, 2
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/view/login_screen.dart", "Dart", 2, 0, -1, 1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/addupdate_cubit.dart", "Dart", -140, -1, -10, -151
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/addupdatecompany_state.dart", "Dart", -55, -1, -5, -61
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_cubit.dart", "Dart", 140, 1, 10, 151
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_addupdate_state.dart", "Dart", 55, 1, 5, 61
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_cubit.dart", "Dart", -88, 88, 0, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/cubit/company_state.dart", "Dart", -50, 50, 0, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/company_datasource.dart", "Dart", 218, 61, 27, 306
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/data_source copy.dart", "Dart", -359, -205, -46, -610
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/data_source.dart", "Dart", 0, -177, -18, -195
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/orderinfo_datagridsource.dart", "Dart", -178, -57, -23, -258
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/data/sy_T_data_s.dart", "Dart", -256, -40, -20, -316
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/addupdate_company_screen.dart", "Dart", -247, -16, -8, -271
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/addupdate_screen.dart", "Dart", 247, 16, 8, 271
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company.dart", "Dart", 1, 0, 0, 1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/company_screen.dart", "Dart", 147, 13, 10, 170
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/company/view/demo.dart", "Dart", -174, -15, -12, -201
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/cubit/admin_cubit.dart", "Dart", 1, 0, 0, 1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/home/provider/admin_info_provider.dart", "Dart", 1, 0, 0, 1
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/cubit/user_cubit.dart", "Dart", -1, 1, 0, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/data/data_source.dart", "Dart", -162, -52, -29, -243
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/data/user_datasource.dart", "Dart", 193, 79, 26, 298
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/model/trans_user_model.dart", "Dart", -35, 0, 0, -35
"/Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/view/user_list_screen.dart", "Dart", 50, -142, -18, -110
"/Users/estai/Desktop/W/tasu_front/lib/admin/model/admin_model.dart", "Dart", -55, 55, 0, 0
"/Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/datatable_widget.dart", "Dart", 7, 0, 2, 9
"/Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/gridcolum_widget.dart", "Dart", 15, 0, 2, 17
"/Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/header_widget.dart", "Dart", 3, -2, 1, 2
"/Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/headr_widget.dart", "Dart", 3, 0, 0, 3
"/Users/estai/Desktop/W/tasu_front/lib/global/config/router/route.dart", "Dart", -5, 11, 3, 9
"/Users/estai/Desktop/W/tasu_front/lib/global/data/main_state.dart", "Dart", -8, 8, -1, -1
"/Users/estai/Desktop/W/tasu_front/lib/global/utils/api_heper.dart", "Dart", 0, -8, 0, -8
"/Users/estai/Desktop/W/tasu_front/lib/global/widgets/dialog_widget.dart", "Dart", 52, 1, 4, 57
"Total", "-", -702, -153, -98, -953
